student_id,age,grade,homework_completion,practice_tests_avg,class_participation,geometry_score,algebra1_score,recent_quiz_avg,study_hours_per_week,at_risk
S194,11,8,81.25,71.63,7.4,66.0,53.57,83.41,5.53,0
S195,13,8,92.11,83.25,7.57,63.56,81.08,83.39,7.55,0
S196,12,7,89.44,60.47,6.48,78.83,79.35,97.44,4.7,0
S197,12,6,81.39,76.58,8.17,46.03,59.8,63.85,6.07,1
S198,10,7,96.59,54.99,6.05,76.93,69.07,80.68,6.68,1
S199,14,5,74.19,65.98,8.74,100.0,71.53,100.0,7.44,0
S200,13,5,91.16,79.8,4.31,49.55,70.39,60.74,7.11,1
S201,11,5,90.93,51.11,7.25,72.85,76.01,46.97,6.74,1
S202,12,5,81.9,81.61,10.0,60.07,89.18,41.8,4.37,0
S203,10,8,88.26,74.71,5.0,76.39,84.98,80.69,3.86,0
S204,10,5,72.49,83.29,5.64,70.29,56.25,41.75,5.67,0
S205,13,8,94.24,78.36,8.03,60.38,79.46,64.42,6.87,0
S206,12,8,83.15,95.46,7.36,77.32,87.95,76.56,4.55,0
S207,14,5,79.77,76.88,7.7,97.07,76.64,72.78,7.13,0
S208,12,5,95.49,68.56,7.98,67.14,85.09,76.38,7.91,0
S209,13,6,77.96,76.83,8.27,80.8,96.15,73.33,3.17,0
S210,13,7,70.92,83.15,9.22,50.6,84.28,89.18,3.33,0
S211,12,5,69.43,75.73,7.82,55.65,74.99,55.72,4.72,0
S212,13,6,91.06,75.61,6.52,77.09,84.54,59.85,5.62,0
S213,12,6,72.2,64.47,8.35,92.26,73.74,58.41,3.95,0
S214,11,7,100.0,65.06,10.0,75.33,72.29,82.45,7.7,0
S215,12,8,64.18,53.96,6.73,65.3,67.78,83.51,5.85,1
S216,12,5,100.0,100.0,5.05,69.99,90.76,76.77,5.08,0
S217,13,7,87.11,56.34,9.21,51.24,62.18,87.75,2.13,1
S218,13,5,84.03,64.61,6.76,79.07,90.39,52.33,2.37,0
S219,10,6,79.55,64.22,2.65,83.23,78.0,95.01,5.56,0
S220,10,6,88.99,88.42,8.69,63.22,55.21,92.85,0.73,0
S221,11,8,84.62,70.58,5.93,62.95,76.41,81.03,7.03,0
S222,10,6,96.03,93.72,6.82,73.99,46.8,96.73,4.68,0
S223,12,6,86.14,64.9,7.66,63.45,79.51,45.15,10.0,0
S224,13,7,86.5,79.18,7.38,69.01,82.62,62.13,9.62,0
S225,10,5,81.36,62.47,8.42,100.0,64.89,58.97,4.64,0
S226,10,5,84.43,100.0,6.13,66.29,73.48,80.82,4.79,0
S227,11,7,88.08,57.19,8.03,64.62,95.45,54.25,6.99,1
S228,11,8,67.9,79.65,6.48,60.29,65.93,81.36,8.41,0
S229,12,5,71.52,84.51,8.48,81.16,59.29,90.56,1.72,0
S230,13,6,92.43,81.21,8.23,67.28,89.78,80.43,1.43,0
S231,11,5,86.71,72.22,5.13,60.26,95.55,74.26,3.76,0
S232,10,6,83.16,73.05,9.17,89.82,72.04,55.18,6.17,0
S233,13,8,85.18,75.66,5.93,91.29,84.14,57.3,5.99,0
S234,13,7,88.48,72.79,8.62,60.99,88.1,88.74,7.14,0
S235,10,5,79.6,89.46,7.73,42.0,63.09,81.69,2.6,1
S236,11,7,77.22,100.0,10.0,85.11,66.18,69.41,0.37,0
S237,10,5,86.96,66.64,6.55,59.73,86.77,63.73,6.72,0
S238,13,6,75.22,54.45,6.3,81.86,92.22,39.61,3.34,1
S239,14,7,89.08,73.68,6.96,40.45,78.75,53.94,0.96,1
S240,14,5,67.97,100.0,6.39,83.39,61.44,98.67,5.29,0
S241,12,6,95.29,62.94,8.6,51.83,95.84,50.79,6.59,0
S242,10,7,89.73,99.59,3.77,80.96,65.63,72.84,4.76,0
S243,10,7,87.56,100.0,4.89,70.21,67.98,85.11,4.08,0
S244,12,5,94.83,66.7,4.86,55.69,76.11,51.18,4.68,0
S245,12,5,100.0,83.53,8.9,63.89,90.65,72.77,4.26,0
S246,12,5,95.14,99.43,10.0,80.29,82.25,84.07,2.3,0
S247,13,6,66.59,69.31,6.79,71.59,76.98,70.19,3.57,0
S248,10,5,72.2,71.95,6.66,78.77,77.56,100.0,6.04,0
S249,13,7,78.75,66.27,7.14,99.65,72.52,44.97,5.64,0
S250,12,7,85.26,59.78,9.32,46.54,78.7,85.88,5.34,1
S251,10,5,90.18,65.26,5.15,94.26,41.65,67.41,3.01,0
S252,13,5,77.74,56.64,7.48,71.57,68.44,81.58,4.64,1
S253,13,8,86.87,75.51,8.95,56.52,74.9,76.62,0.65,0
S254,12,7,77.45,63.45,8.0,50.05,58.19,59.0,5.36,0
S255,10,6,78.88,78.51,7.38,67.16,76.64,73.43,7.86,0
S256,12,8,70.93,51.66,9.0,83.82,69.55,42.13,2.05,1
S257,10,5,75.77,79.96,1.59,68.09,93.07,79.05,3.83,0
S258,14,5,71.48,87.5,8.36,92.67,90.88,74.47,5.66,0
S259,11,7,75.24,45.09,5.69,48.23,66.41,79.58,7.51,1
S260,11,5,95.54,80.61,3.34,69.82,70.19,85.87,4.1,0
S261,11,6,75.51,93.42,8.02,51.21,71.11,75.51,3.62,0
S262,12,7,100.0,56.86,9.75,75.45,66.58,72.22,1.06,1
S263,14,5,89.93,100.0,6.73,83.3,74.34,56.78,5.21,0
S264,10,7,86.85,81.29,8.91,63.69,62.9,59.32,9.08,0
S265,13,5,76.42,64.42,10.0,30.94,58.43,87.8,5.55,1
S266,10,5,92.0,74.16,9.63,72.98,79.47,91.55,4.96,0
S267,13,5,79.24,83.37,10.0,76.55,79.55,66.43,5.64,0
S268,10,6,86.22,76.14,8.48,76.06,62.35,70.69,4.98,0
S269,14,6,100.0,83.08,7.15,88.54,82.74,56.43,3.37,0
S270,13,7,84.04,61.19,3.8,53.93,64.42,87.59,6.65,0
S271,12,5,96.49,77.54,6.51,80.2,75.04,79.98,5.45,0
S272,10,5,77.97,53.79,5.31,87.89,81.84,99.12,5.04,1
S273,10,6,84.65,73.33,10.0,43.32,71.6,56.83,3.05,1
S274,13,5,100.0,61.44,6.65,74.79,77.46,64.33,7.61,0
S275,12,6,78.73,63.97,7.25,62.44,65.8,73.47,6.33,0
S276,12,5,100.0,93.54,8.1,68.78,69.64,79.7,3.89,0
S277,14,7,92.08,91.37,7.09,75.22,69.53,66.76,7.0,0
S278,12,5,79.38,84.14,10.0,62.69,63.04,56.91,4.0,0
S279,12,5,91.32,58.62,5.75,59.86,69.88,83.22,3.44,1
S280,12,8,94.73,70.25,7.39,70.51,53.42,80.82,3.48,0
S281,11,6,91.22,93.2,5.52,53.69,66.11,56.26,1.46,0
S282,14,5,69.3,77.13,4.36,53.71,68.58,90.33,5.94,0
S283,10,5,77.73,100.0,5.78,80.19,68.93,87.55,1.34,0
S284,13,8,82.52,80.9,6.93,52.77,69.1,72.01,2.54,0
S285,10,8,84.26,77.88,6.14,79.99,71.26,71.19,0.85,0
S286,14,6,91.21,70.36,5.62,76.94,77.75,78.31,4.83,0
S287,13,8,86.78,77.0,4.19,44.11,82.49,57.07,4.7,1
S288,14,7,71.65,72.71,6.83,59.84,64.2,70.45,4.35,0
S289,12,8,88.8,85.62,3.99,87.91,57.56,37.71,2.91,0
S290,13,7,91.11,89.35,8.52,55.28,59.5,83.15,2.66,0
S291,12,6,90.6,63.21,7.16,63.03,66.15,46.58,5.93,0
S292,10,6,95.81,55.03,4.08,76.93,67.78,92.55,3.9,1
S293,10,6,93.34,47.46,6.38,81.75,62.76,65.05,5.63,1
S294,13,6,89.59,82.62,5.5,66.23,56.45,66.82,3.23,0
S295,13,6,84.3,58.45,7.64,61.04,66.53,60.58,5.36,1
S296,14,7,68.39,42.71,9.68,91.34,74.18,65.68,7.61,1
S297,14,7,89.3,80.83,3.25,96.08,79.14,91.28,6.17,0
S298,12,6,87.08,100.0,7.23,84.68,65.31,32.68,4.18,0
S299,13,8,87.72,74.91,6.68,71.28,67.04,89.15,5.51,0
S300,10,5,72.23,87.58,8.34,57.88,60.88,75.07,4.52,0
S301,14,6,74.19,76.23,7.43,57.54,71.62,51.89,5.02,0
S302,14,8,95.53,73.52,5.5,77.84,61.82,53.87,4.35,0
S303,10,5,84.6,88.79,6.36,76.28,78.88,95.15,4.67,0
S304,14,6,91.82,70.65,5.41,91.02,50.57,55.82,5.42,0
S305,12,6,85.28,79.01,9.15,79.76,67.68,52.7,3.01,0
S306,13,7,85.3,79.83,7.04,47.45,75.61,87.06,2.97,1
S307,10,5,94.38,64.98,10.0,85.78,74.21,75.08,2.22,0
S308,13,5,79.84,89.88,6.88,55.03,100.0,55.93,1.8,0
S309,14,8,85.96,72.38,5.58,64.24,76.2,73.25,2.57,0
S310,14,7,80.38,63.66,3.97,73.75,59.95,54.61,5.32,0
S311,10,7,80.66,83.05,3.39,99.94,70.85,86.51,3.21,0
S312,12,7,81.91,61.52,3.83,100.0,50.69,85.92,6.03,0
S313,11,7,87.22,75.42,7.53,79.1,71.03,77.98,5.07,0
S314,10,5,80.21,74.86,8.02,67.25,62.0,75.42,1.06,0
S315,11,5,97.56,91.29,3.84,78.02,82.98,96.42,6.31,0
S316,11,6,76.05,82.12,8.79,83.31,65.41,70.0,6.62,0
S317,12,6,83.13,74.62,6.03,65.19,70.6,52.27,3.01,0
S318,11,7,80.6,87.27,7.29,96.93,64.37,76.74,5.84,0
S319,11,7,99.47,95.85,10.0,73.45,92.87,100.0,3.29,0
S320,12,7,86.97,83.37,8.79,77.47,68.15,54.78,5.2,0
S321,11,6,95.32,75.16,6.46,79.99,93.99,64.58,2.47,0
S322,11,8,70.14,55.32,5.22,76.32,81.77,76.25,1.41,1
S323,11,8,87.67,59.02,2.7,82.58,77.78,69.19,4.23,1
S324,10,6,93.9,70.42,5.56,60.74,76.42,55.27,4.75,0
S325,10,6,85.82,65.86,6.58,61.63,76.73,86.83,4.2,0
S326,10,6,95.65,72.2,5.03,53.5,48.87,100.0,2.63,0
S327,12,6,79.83,75.85,6.74,76.59,68.65,72.94,4.2,0
S328,14,6,99.09,82.95,7.15,81.68,82.14,56.44,5.54,0
S329,11,6,100.0,73.94,6.55,76.87,71.41,46.77,4.91,0
S330,11,7,81.37,82.3,5.7,95.12,55.14,73.87,5.37,0
S331,12,7,80.54,75.97,7.34,69.92,71.37,86.56,3.66,0
S332,11,7,99.53,45.37,7.88,80.03,92.45,77.13,7.34,1
S333,10,7,100.0,60.91,4.82,53.62,86.96,69.96,2.65,0
S334,14,6,79.77,72.84,9.82,64.19,71.26,61.16,5.98,0
S335,13,8,80.8,56.85,6.8,80.43,83.42,53.62,7.36,1
S336,11,5,82.18,84.0,7.04,82.74,67.6,82.52,5.96,0
S337,10,6,71.56,97.96,8.42,65.59,51.55,83.71,4.59,0
S338,13,5,75.81,93.28,7.47,68.93,60.91,46.81,3.94,0
S339,14,8,74.96,71.8,8.91,47.23,90.75,93.85,7.07,1
S340,13,7,77.32,97.36,7.57,64.64,68.71,78.61,2.15,0
S341,10,8,84.65,77.23,5.78,83.36,69.08,90.99,3.06,0
S342,13,6,87.34,69.94,7.72,78.63,68.4,49.87,4.2,0
S343,12,7,100.0,65.8,4.71,77.51,94.85,49.51,7.48,0
S344,13,6,75.02,70.46,7.22,70.75,91.51,67.77,5.76,0
S345,11,7,94.84,69.18,6.93,70.11,98.63,77.54,3.06,0
S346,11,5,82.86,77.56,6.58,60.1,70.09,96.95,4.38,0
S347,12,5,84.51,77.41,6.74,80.48,75.55,80.59,3.77,0
S348,10,5,91.75,75.05,3.24,76.31,53.8,66.36,3.58,0
S349,11,8,73.77,81.55,5.9,77.38,89.72,54.6,6.96,0
S350,14,6,88.82,92.86,7.19,62.11,57.99,88.45,2.26,0
S351,11,8,86.66,89.24,7.32,37.7,74.6,55.53,8.22,1
S352,11,5,89.92,52.73,4.94,86.46,58.83,94.43,6.66,1
S353,10,6,87.89,40.0,9.53,62.82,64.93,65.73,7.18,1
S354,13,5,100.0,89.01,5.27,57.06,61.95,93.86,4.07,0
S355,11,8,78.62,54.5,8.94,80.4,64.71,80.18,4.7,1
S356,12,8,79.69,71.63,7.85,64.12,65.53,67.95,2.13,0
S357,13,8,78.77,57.45,5.71,85.9,65.42,62.21,3.95,1
S358,14,5,79.45,47.97,10.0,79.26,82.0,64.89,5.99,1
S359,10,6,78.63,83.12,4.61,80.25,58.74,76.42,7.59,0
S360,14,6,96.89,86.39,8.84,49.51,74.65,71.16,2.79,1
S361,13,5,99.21,66.35,9.0,88.18,86.62,61.09,4.27,0
S362,13,6,79.29,40.0,5.66,73.92,65.84,67.52,4.7,1
S363,13,5,76.68,66.81,9.78,64.46,63.38,71.18,2.21,0
S364,14,6,89.71,80.88,6.5,72.15,69.23,38.07,6.18,0
S365,13,7,79.48,52.82,7.58,43.36,86.16,76.87,3.55,1
S366,14,7,91.33,77.75,7.52,76.13,74.33,55.3,4.61,0
S367,13,8,87.03,74.77,6.73,54.56,65.63,52.7,4.1,0
S368,12,7,69.84,83.69,8.62,49.71,77.81,44.69,3.42,1
S369,13,7,100.0,76.79,8.59,47.16,58.77,43.09,4.99,1
S370,14,7,100.0,60.4,3.5,86.69,80.18,49.67,4.57,0
S371,11,5,78.87,92.95,9.61,60.56,76.9,59.36,4.26,0
S372,13,7,81.12,72.62,3.68,93.01,68.31,99.3,3.54,0
S373,11,7,87.86,74.59,9.07,61.96,61.94,62.11,5.64,0
S374,12,8,88.34,61.0,9.25,44.39,61.36,72.67,8.31,1
